Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
FRESHBUS,Electric A/C Seater (2+2),23:10,05:35,06h 25m,1529,25 Seats available,"4.5
489",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),13:00,18:05,05h 05m,449,7 Seats available,"4.6
299",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,05:35,05h 45m,INR 869,27 Seats available,"4.4
917",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
AdSai RK Travels,Non A/C Seater / Sleeper (2+1),21:50,04:30,06h 40m,INR 890,20 Seats available,"3.9
31",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),13:10,19:25,06h 15m,449,7 Seats available,"4.5
468",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Zingbus Plus,A/C Seater / Sleeper (2+1),23:38,06:05,06h 27m,1096,24 Seats available,"4.5
467",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:59,06:30,06h 31m,INR 1519,17 Seats available,"4.5
473",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
AdZingbus Plus,A/C Sleeper (2+1),17:30,00:50,07h 20m,2286,24 Seats available,"4.5
13",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),00:20,06:30,06h 10m,1329,34 Seats available,"4.5
427",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),23:45,05:25,05h 40m,INR 899,14 Seats available,"4.6
387",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),22:30,05:25,06h 55m,765,23 Seats available,"4.4
599",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06:00,06h 55m,INR 1069,29 Seats available,"4.4
545",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),22:35,05:15,06h 40m,712,18 Seats available,"4.5
301",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),13:05,17:40,04h 35m,449,12 Seats available,"4.6
345",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Svkdt travels,A/C Sleeper (2+1),22:30,05:50,07h 20m,INR 1189,8 Seats available,"4.4
529",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Sri Vengamamba Bus Transport (SVBT),A/C Seater / Sleeper (2+1),21:45,06:15,08h 30m,INR 890,17 Seats available,"4.5
250",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
V Kaveri Travels,Volvo Multi-Axle A/C Sleeper (2+1),21:30,05:30,08h 00m,INR 1350,19 Seats available,"4.0
140",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Sri Vengamamba Bus Transport (SVBT),A/C Sleeper (2+1),21:40,06:15,08h 35m,INR 1390,15 Seats available,"4.4
293",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),21:30,05:45,08h 15m,INR 1300,14 Seats available,"4.1
158",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Kamakshi Tours And Travels,Non A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,INR 1090,13 Seats available,"4.4
238",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
