Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),15:00,19:15,04h 15m,315,21 Seats available,"4.3
209",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,15:30,19:15,03h 45m,INR 378.92,31 Seats available,"4.5
460",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:30,03:30,06h 00m,INR 400,11 Seats available,"3.0
89",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Shopuris Travels,Non AC Seater (2+1),23:00,04:00,05h 00m,INR 550,27 Seats available,New,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 174839,Bharat Benz A/C Seater (2+2),15:15,19:15,04h 00m,INR 298,13 Seats available,"3.6
35",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
WARISPIYA TRAVELS,AC Seater (2+2),15:00,18:40,03h 40m,INR 360,7 Seats available,"4.4
382",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),16:15,19:40,03h 25m,INR 360,23 Seats available,"4.3
430",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,NON A/C Seater (2+1),18:00,23:30,05h 30m,INR 500,8 Seats available,"3.2
27",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,NON AC Seater/ Sleeper (2+1),20:00,00:00,04h 00m,INR 500,6 Seats available,"3.7
37",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
DESTINY TRAVELS,NON A/C Seater (2+1),17:45,21:50,28h 05m,360,7 Seats available,2.4,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Baikuntha Transport Service,Bharat Benz A/C Seater (2+1),14:00,17:00,03h 00m,500,15 Seats available,"3.0
17",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,14:30,17:00,02h 30m,INR 377.79,14 Seats available,"4.6
81",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
SHIVAM TRAVELS,NON A/C Seater (2+2),16:45,19:15,02h 30m,270,26 Seats available,"4.5
23",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,17:00,19:15,02h 15m,INR 216.69,32 Seats available,"4.6
77",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Kareng Travels,Non AC Seater (2+1),14:15,16:45,02h 30m,INR 300,1 Seat available,"1.5
4",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Yatra,Non AC Seater (2+2),20:15,03:30,07h 15m,INR 350,38 Seats available,"2.4
19",https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Dhubri to Guwahati
SREE CHAITANYA,Non AC Seater (2+2),17:30,23:00,05h 30m,INR 300,42 Seats available,New,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,Guwahati to Dhubri
Basudev Transline,A/C Seater (2+2),15:15,19:40,04h 25m,299,27 Seats available,"3.4
68",https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Dibrugarh to Jorhat
Maa Laxmi,NON A/C Seater Push Back (2+1),17:00,21:30,04h 30m,513,10 Seats available,"5.0
1",https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Dibrugarh to Jorhat
Trishul Transport Service,A/C Seater / Sleeper (2+1),19:15,22:55,03h 40m,495,39 Seats available,"3.8
6",https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Dibrugarh to Jorhat
Baikuntha Transport Service,Bharat Benz A/C Seater /Sleeper (2+1),19:30,23:15,03h 45m,500,39 Seats available,"3.1
36",https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Dibrugarh to Jorhat
Purple Wings Coaches,A/C Seater / Sleeper (2+1),19:55,00:15,04h 20m,540,33 Seats available,"5.0
1",https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Dibrugarh to Jorhat
Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),19:30,04:00,08h 30m,INR 600,12 Seats available,"3.8
165",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),19:45,04:00,08h 15m,INR 550,19 Seats available,"1.7
23",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
J.S. Travels,Non AC Seater (2+1),20:30,04:00,07h 30m,INR 550,9 Seats available,"2.9
25",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Neha Travels,NON A/C Seater (2+2),21:50,06:30,08h 40m,644,9 Seats available,"2.1
11",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Neha Travels,NON A/C Seater (2+2),22:10,04:00,05h 50m,666,7 Seats available,"1.9
6",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Yatra Travels,NON A/C Seater (2+1),18:00,01:30,07h 30m,INR 550,8 Seats available,"3.6
43",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
RAYAN TRAVELS,Non A/C Seater / Sleeper (2+1),19:15,02:00,06h 45m,INR 500,14 Seats available,"4.5
24",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
PARIJAT TRAVELS(UNDER ASTC),NON A/C Seater (2+1),19:35,02:00,06h 25m,INR 500,10 Seats available,"3.8
7",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Laxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),19:45,23:50,04h 05m,630,9 Seats available,"3.6
13",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
,,,,,,,,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Air Bus Travels,NON AC Seater / Sleeper 2+1,21:00,03:00,06h 00m,INR 400,8 Seats available,"3.5
6",https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,North Lakhimpur to Dibrugarh
NETWORK TRAVELS,Non A/C Seater / Sleeper (2+1),17:00,23:00,06h 00m,350,40 Seats available,"3.8
8",https://www.redbus.in/bus-tickets/tinsukia-to-jorhat,Tinsukia to Jorhat
Purple Wings Coaches,A/C Seater / Sleeper (2+1),18:30,00:15,05h 45m,567,28 Seats available,"3.8
10",https://www.redbus.in/bus-tickets/tinsukia-to-jorhat,Tinsukia to Jorhat
NETWORK TRAVELS,NON A/C Seater Push Back (2+1),19:00,00:30,05h 30m,500,34 Seats available,"4.7
23",https://www.redbus.in/bus-tickets/tinsukia-to-jorhat,Tinsukia to Jorhat
Narayan Travels,AC Seater (2+2),14:20,20:30,06h 10m,INR 420,40 Seats available,New,https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,Tezpur to North Lakhimpur
DESTINY TRAVELS,NON A/C Seater (2+1),23:45,03:45,04h 00m,446,31 Seats available,"1.6
3",https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,Tezpur to North Lakhimpur
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:45,05:00,07h 15m,INR 570,5 Seats available,"4.2
59",https://www.redbus.in/bus-tickets/guwahati-to-gohpur,Guwahati to Gohpur
Yatra Travels,NON AC Seater/ Sleeper (2+1),20:00,02:30,06h 30m,INR 550,6 Seats available,"4.6
40",https://www.redbus.in/bus-tickets/guwahati-to-gohpur,Guwahati to Gohpur
Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),21:30,05:15,07h 45m,INR 660,8 Seats available,"3.9
55",https://www.redbus.in/bus-tickets/guwahati-to-gohpur,Guwahati to Gohpur
Yatra Travels,NON A/C Seater (2+1),18:00,02:45,08h 45m,INR 550,8 Seats available,"4.4
25",https://www.redbus.in/bus-tickets/guwahati-to-gohpur,Guwahati to Gohpur
,,,,,,,,https://www.redbus.in/bus-tickets/guwahati-to-gohpur,Guwahati to Gohpur
BAIKUNTHA TRAVELS (UNDER ASTC),Bharat Benz A/C Seater (2+1),20:00,23:15,03h 15m,579,12 Seats available,"3.1
3",https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor
TRINAYAN TRANSPORT (Under ASTC),A/C Seater (2+1),20:15,01:15,05h 00m,415,18 Seats available,"3.0
1",https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor
Rishi India Travels,A/C Seater (2+1),15:15,18:20,03h 05m,450,17 Seats available,"2.9
6",https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor
SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),18:45,03:00,08h 15m,570,5 Seats available,"3.1
5",https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Dibrugarh to Tezpur
PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),19:50,04:30,08h 40m,INR 550,18 Seats available,"2.6
35",https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Dibrugarh to Tezpur
Puja Transport,Non AC Seater (2+2),19:15,04:00,08h 45m,540,2 Seats available,"2.0
15",https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Dibrugarh to Tezpur
Maa Laxmi,NON A/C Seater Push Back (2+1),17:00,01:00,08h 00m,558,8 Seats available,"4.0
1",https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Dibrugarh to Tezpur
Neha Travels,NON A/C Sleeper (2+1),17:00,03:15,10h 15m,644,17 Seats available,"3.1
3",https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Dibrugarh to Tezpur
Shopuris Travels,Non AC Seater (2+1),22:15,04:00,05h 45m,INR 550,27 Seats available,New,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Biswanath Charali to Guwahati
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),20:00,03:30,07h 30m,INR 450,11 Seats available,"2.5
20",https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Biswanath Charali to Guwahati
BARBIE TRAVELS,NON A/C Hi-Tech Push Back (2+2),15:30,19:30,04h 00m,INR 240,40 Seats available,3.7,https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur,Dibrugarh to North Lakhimpur
Maa Jagadamba,A/C Seater Push Back (2+2),16:15,19:30,03h 15m,INR 260,41 Seats available,"4.1
15",https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur,Dibrugarh to North Lakhimpur
Maa Jagadamba,NON A/C Seater (2+3),16:20,19:30,03h 10m,INR 250,38 Seats available,"1.0
1",https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur,Dibrugarh to North Lakhimpur
Air Bus Travels,NON AC Seater / Sleeper 2+1,19:40,01:00,05h 20m,INR 400,18 Seats available,"2.4
8",https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur,Dibrugarh to North Lakhimpur
Assam State Transport Corporation (ASTC) - 161055,Volvo AC Seater 2+2,15:15,20:30,05h 15m,INR 316,17 Seats available,"3.3
8",https://www.redbus.in/bus-tickets/tumuki-tezpur-medical-to-guwahati,Tumuki (Tezpur Medical) to Guwahati
Air Bus Travels,NON AC Seater / Sleeper 2+1,18:30,02:00,07h 30m,INR 600,41 Seats available,"3.3
21",https://www.redbus.in/bus-tickets/biswanath-charali-to-dibrugarh,Biswanath Charali to Dibrugarh
Yatra Travels,NON AC Seater/ Sleeper (2+1),23:00,06:00,07h 00m,481,27 Seats available,"4.7
44",https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Gohpur to Guwahati
Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),23:05,06:00,06h 55m,620,21 Seats available,"4.7
33",https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Gohpur to Guwahati
KIRAN TRAVELS,A/C Seater (2+1),22:50,07:30,08h 40m,540,24 Seats available,"4.5
39",https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Gohpur to Guwahati
Yatra Travels,NON AC Seater/ Sleeper (2+1),22:30,06:15,07h 45m,481,24 Seats available,"4.6
28",https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Gohpur to Guwahati
,,,,,,,,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Gohpur to Guwahati
Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),21:00,06:15,09h 15m,650,21 Seats available,"4.2
213",https://www.redbus.in/bus-tickets/north-lakhimpur-to-guwahati,North Lakhimpur to Guwahati
Yatra Travels,NON AC Seater/ Sleeper (2+1),19:45,06:15,10h 30m,569,24 Seats available,"4.2
71",https://www.redbus.in/bus-tickets/north-lakhimpur-to-guwahati,North Lakhimpur to Guwahati
KIRAN TRAVELS,A/C Seater (2+1),21:20,07:30,10h 10m,630,26 Seats available,"4.1
242",https://www.redbus.in/bus-tickets/north-lakhimpur-to-guwahati,North Lakhimpur to Guwahati
AdYatra Travels,NON AC Seater/ Sleeper (2+1),20:30,06:00,09h 30m,569,27 Seats available,"4.0
49",https://www.redbus.in/bus-tickets/north-lakhimpur-to-guwahati,North Lakhimpur to Guwahati
,,,,,,,,https://www.redbus.in/bus-tickets/north-lakhimpur-to-guwahati,North Lakhimpur to Guwahati
Deep Travels,Non AC Seater (2+1),17:45,04:30,10h 45m,INR 599,31 Seats available,"4.2
97",https://www.redbus.in/bus-tickets/haflong-to-guwahati,Haflong to Guwahati
NETWORK TRAVELS,NON A/C Seater (2+1),18:00,04:00,10h 00m,600,15 Seats available,"4.5
70",https://www.redbus.in/bus-tickets/haflong-to-guwahati,Haflong to Guwahati
PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),19:45,03:00,07h 15m,INR 520,20 Seats available,"2.4
13",https://www.redbus.in/bus-tickets/tezpur-to-moran,Tezpur to Moran
SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),21:30,04:20,06h 50m,INR 600,23 Seats available,3.1,https://www.redbus.in/bus-tickets/tezpur-to-moran,Tezpur to Moran
Neha Travels,NON A/C Seater (2+2),22:10,03:30,05h 20m,666,7 Seats available,"1.9
5",https://www.redbus.in/bus-tickets/tezpur-to-moran,Tezpur to Moran
Neha Travels,NON A/C Seater (2+2),21:50,05:30,07h 40m,644,31 Seats available,"4.0
2",https://www.redbus.in/bus-tickets/tezpur-to-moran,Tezpur to Moran
SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),20:15,03:00,06h 45m,570,5 Seats available,"5.0
2",https://www.redbus.in/bus-tickets/moran-to-tezpur,Moran to Tezpur
PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),20:45,04:30,07h 45m,INR 520,28 Seats available,"2.6
9",https://www.redbus.in/bus-tickets/moran-to-tezpur,Moran to Tezpur
Neha Travels,NON A/C Sleeper (2+1),18:00,03:15,09h 15m,644,22 Seats available,"4.0
1",https://www.redbus.in/bus-tickets/moran-to-tezpur,Moran to Tezpur
Neha Travels,NON A/C Seater (2+2),18:30,05:00,10h 30m,666,5 Seats available,4.0,https://www.redbus.in/bus-tickets/moran-to-tezpur,Moran to Tezpur
