Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
FRESHBUS,Electric A/C Seater (2+2),22:55,05:10,06h 15m,1529,25 Seats available,"4.5
489",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),13:05,18:05,05h 00m,449,7 Seats available,"4.6
299",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,05:35,05h 45m,INR 999,27 Seats available,"4.4
917",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:55,04:10,05h 15m,INR 999,19 Seats available,"3.7
25",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),13:10,19:25,06h 15m,449,7 Seats available,"4.5
468",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Zingbus Plus,A/C Seater / Sleeper (2+1),23:38,06:05,06h 27m,1096,24 Seats available,"4.5
467",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:30,06:40,07h 10m,INR 1519,16 Seats available,"4.5
473",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
AdSai RK Travels,Non A/C Seater / Sleeper (2+1),23:00,04:35,05h 35m,INR 890,20 Seats available,"3.9
31",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),23:35,06:05,06h 30m,1329,35 Seats available,"4.5
427",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),23:45,05:25,05h 40m,INR 899,14 Seats available,"4.6
387",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),22:30,06:00,07h 30m,787,23 Seats available,"4.4
599",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06:00,06h 55m,INR 1069,29 Seats available,"4.4
545",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Sri Sanvi Tours and Travels,A/C Sleeper (2+1),23:12,04:53,05h 41m,1169,7 Seats available,"4.3
229",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),22:35,05:15,06h 40m,712,15 Seats available,"4.5
301",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Svkdt travels,A/C Sleeper (2+1),23:35,05:50,06h 15m,INR 1189,8 Seats available,"4.4
529",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
TGSRTC - 8681,RAJADHANI AC (CONVERTED METRO LUXURY),13:00,17:00,04h 00m,INR 389,34 Seats available,"3.9
29",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
